url	league_name
209	AUSTRIAN FOOTBALL BUNDESLIGA
160	GERMAN 2. BUNDESLIGA
1803	ENGLISH LEAGUE TWO
112026	ITALIAN SERIE B
111459	INTERNATIONAL
1413	INTERNATIONAL
110980	CHILIAN CAMPEONATO NACIONAL
1746	ITALIAN SERIE B
27	GERMAN 3. BUNDESLIGA
1908	HOLLAND EREDIVISIE
252	AUSTRIAN FOOTBALL BUNDESLIGA
111091	POLISH T-MOBILE EKSTRAKLASA
1930	ENGLISH LEAGUE TWO
1951	ENGLISH LEAGUE ONE
110827	SPANISH SEGUNDA DIVISIÓN
110975	CHILIAN CAMPEONATO NACIONAL
1367	INTERNATIONAL
101100	COLOMBIAN LIGA POSTOBÓN
110404	ARGENTINA PRIMERA DIVISIÓN
101121	MEXICAN LIGA MX
112093	JAPANESE J. LEAGUE DIVISION 1
101147	JAPANESE J. LEAGUE DIVISION 1
1738	FRENCH LIGUE 2
1825	GERMAN 3. BUNDESLIGA
143	ENGLISH LEAGUE TWO
167	GERMAN 3. BUNDESLIGA
1738	FRENCH LIGUE 2
1053	CAMPEONATO BRASILEIRO SÉRIE A
278	GREEK SUPER LEAGUE
112259	ENGLISH LEAGUE ONE
1903	HOLLAND EREDIVISIE
320	SWEDISH ALLSVENSKAN
1798	ENGLISH LEAGUE ONE
1375	INTERNATIONAL
1359	INTERNATIONAL
1949	ENGLISH LEAGUE TWO
1934	ENGLISH LEAGUE TWO
567	CAMPEONATO BRASILEIRO SÉRIE A
576	GERMAN 2. BUNDESLIGA
101101	COLOMBIAN LIGA POSTOBÓN
1959	ENGLISH LEAGUE TWO
1884	GREEK SUPER LEAGUE
111400	AUSTRALIAN HYUNDAI A-LEAGUE
111455	INTERNATIONAL
112378	CHINESE SUPER LEAGUE
1788	DANISH SUPERLIGA
113180	ROMANIAN LIGA I
256	AUSTRIAN FOOTBALL BUNDESLIGA
100325	FINNISH VEIKKAUSLIIGA
110482	GERMAN 3. BUNDESLIGA
110724	BELGIAN JUPILER PRO LEAGUE
149	ENGLISH LEAGUE ONE
111399	AUSTRALIAN HYUNDAI A-LEAGUE
1928	ENGLISH LEAGUE TWO
111651	USA MAJOR LEAGUE SOCCER
15048	ENGLISH LEAGUE ONE
114023	AUSTRALIAN HYUNDAI A-LEAGUE
1907	HOLLAND EREDIVISIE
1873	POLISH T-MOBILE EKSTRAKLASA
1854	SPANISH SEGUNDA DIVISIÓN
1035	CAMPEONATO BRASILEIRO SÉRIE A
110406	ARGENTINA PRIMERA DIVISIÓN
100757	ROMANIAN LIGA I
101083	ARGENTINA PRIMERA DIVISIÓN
1802	ENGLISH LEAGUE ONE
80	SCOTTISH PREMIERSHIP
1048	CAMPEONATO BRASILEIRO SÉRIE A
110745	POLISH T-MOBILE EKSTRAKLASA
111730	JAPANESE J. LEAGUE DIVISION 1
357	ENGLISH LEAGUE TWO
1352	INTERNATIONAL
744	PORTUGUESE LIGA ZON SAGRES
1913	HOLLAND EREDIVISIE
